player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tyreek Hill,10799,WR,MIA,1,19.3,0,17,68.0,,58.8,0,0,0,0.0,0.0,,1,0,0,11,0,0,0,57,0,46,0,0,11,0
C.J. Ham,11347,FB,MIN,1,73.3,0,18,42.2,60.6,32.8,0,0,4,50.0,55.6,100.0,0,0,0,11,0,0,0,15,5,9,0,0,6,2
Ja'Lynn Polk,123153,WR,NE,1,55.0,0,19,53.3,,58.5,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,20,0,9,0,0,11,0
Johnny Mundt,12206,TE,MIN,1,50.0,0,18,68.0,72.6,39.3,0,0,2,15.4,21.4,100.0,0,0,0,11,0,0,0,22,3,14,0,0,8,18
Ben Sims,77918,TE,GB,1,73.3,0,12,37.4,71.0,41.3,0,0,2,33.3,33.3,100.0,0,0,0,11,0,0,0,15,2,6,0,0,9,14
Rachaad White,131633,HB,TB,1,26.2,0,30,67.6,50.1,59.2,0,0,7,26.9,25.9,85.7,0,1,1,11,0,0,0,42,7,27,0,0,4,0
Khalil Shakir,84140,WR,BUF,1,37.9,0,4,62.2,,63.4,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,29,0,18,0,0,11,2
Keenan Allen,7857,WR,CHI,1,17.2,0,6,68.9,,50.4,0,0,0,0.0,0.0,,1,0,0,11,0,0,0,64,0,53,0,0,11,0
Zach Davidson,143780,TE,BUF,1,73.3,0,4,78.5,,93.6,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,15,0,4,0,0,11,7
DJ Moore,48267,WR,CHI,1,16.9,0,6,74.2,,59.6,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,65,0,54,0,0,11,0
Devin Duvernay,40006,WR,JAX,1,27.5,0,15,64.2,,73.2,0,0,0,0.0,0.0,,0,0,0,11,0,0,0,40,0,29,0,0,11,1
Justin Watson,66915,WR,KC,1,31.3,0,16,60.5,,62.2,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,32,0,22,0,0,10,2
Michael Burton,9601,FB,DEN,1,76.9,0,10,63.7,65.8,55.9,0,0,1,50.0,33.3,100.0,0,0,0,10,0,0,0,13,1,3,0,0,9,0
Lil'Jordan Humphrey,42247,WR,DEN,1,47.6,0,10,62.8,,90.1,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,21,0,11,0,0,10,0
Mitch Trubisky,11757,QB,BUF,1,66.7,0,4,56.2,,60.0,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,15,0,1,0,0,10,0
Kenneth Walker III,97199,HB,SEA,1,25.6,0,29,60.1,80.9,60.0,0,0,5,33.3,33.3,100.0,0,0,0,10,0,0,0,39,6,18,0,0,4,0
Rashod Bateman,84296,WR,BLT,1,34.5,0,3,52.6,,57.7,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,29,0,19,0,0,10,0
Zach Charbonnet,97630,HB,SEA,1,35.7,0,29,61.7,89.1,60.0,0,0,8,40.0,42.9,100.0,0,0,0,10,0,0,0,28,9,21,0,0,1,0
Will Levis,83542,QB,TEN,1,18.2,0,31,69.3,,60.0,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,55,0,43,0,0,10,0
Greg Dortch,42237,WR,ARZ,1,52.6,0,1,53.6,,59.3,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,19,0,8,0,0,10,0
Trey Palmer,99248,WR,TB,1,66.7,0,30,53.8,,53.6,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,15,0,5,0,0,10,0
Tee Higgins,61211,WR,CIN,1,17.9,0,7,69.5,,60.0,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,56,0,46,0,0,10,0
Jordan Addison,123000,WR,MIN,1,20.0,0,18,65.2,,59.8,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,50,0,40,0,0,10,0
Darius Slayton,25578,WR,NYG,1,23.3,0,21,44.7,,56.1,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,43,0,33,0,0,10,0
Brian Robinson,57120,HB,WAS,1,26.3,0,32,62.9,71.5,60.0,0,0,7,38.9,40.0,100.0,0,0,0,10,0,0,0,38,8,20,0,0,2,0
Jared Wayne,99691,WR,HST,1,62.5,0,13,54.1,,60.6,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,16,0,6,0,0,10,0
Tutu Atwell,77965,WR,LA,1,45.5,0,26,71.5,,54.7,0,0,0,0.0,0.0,,0,0,0,10,0,0,0,22,0,11,0,0,10,0
Tim Jones,61669,WR,JAX,1,50.0,0,15,51.2,65.3,52.6,0,0,1,12.5,10.0,100.0,0,0,0,9,0,0,0,18,1,10,0,0,8,0
Joshua Palmer,62979,WR,LAC,1,31.0,0,27,67.7,,54.0,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,29,0,20,0,0,9,0
Quentin Johnston,123085,WR,LAC,1,29.0,0,27,57.0,,32.5,0,0,0,0.0,0.0,,0,0,0,9,0,0,0,31,0,22,0,0,9,0
Gus Edwards,46027,HB,LAC,1,37.5,0,27,67.0,54.4,60.0,0,1,4,30.8,30.8,87.5,0,1,0,9,0,0,0,24,4,13,0,0,5,0
Nick Chubb,45783,HB,CLV,1,31.0,0,8,61.4,82.7,60.0,0,0,7,38.9,38.9,100.0,0,0,0,9,0,0,0,29,7,18,0,0,2,0
Chase Brown,77787,HB,CIN,1,18.0,0,7,64.8,34.8,,0,0,8,22.9,23.7,100.0,0,0,0,9,0,0,0,50,9,38,0,0,0,2
