,,,,,,,Rushing,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
234,Cooper Kupp,31,LAR,WR,9,8,2,10,1,9,4.5,1,0.5,0,,
235,Tyreik McAllister,26,LVR,WR,3,0,2,11,1,9,4.5,2,1,0,,
236,Terry McLaurin,29,WAS,WR,13,13,2,2,0,2,1,0,0,0,,
237,Jalen McMillan,23,TAM,WR,9,8,2,28,2,14,7,14,7,1,2,
238,Jakobi Meyers,28,LVR,WR,11,11,2,23,1,10,5,13,6.5,0,,
239,Jonathan Mingo,23,CAR,WR,9,5,2,5,0,4,2,1,0.5,0,,
240,George Pickens,23,PIT,WR,12,10,2,-6,0,-8,-4,2,1,0,,
241,Kalif Raymond,30,DET,WR,11,2,2,0,1,-3,-1.5,3,1.5,0,,
242,Khalil Shakir,24,BUF,WR,12,7,2,4,0,1,0.5,3,1.5,1,2,
243,Jonnu Smith,29,MIA,TE,13,4,2,-1,0,-1,-0.5,0,0,0,,
244,Xavier Smith,27,LAR,WR,11,0,2,30,1,27,13.5,3,1.5,0,,
245,Amon-Ra St. Brown,25,DET,WR,13,13,2,6,1,6,3,0,0,0,,
246,Jarrett Stidham,28,DEN,QB,2,0,2,-2,0,-2,-1,0,0,0,,
247,Kadarius Toney,25,CLE,WR,3,0,2,-4,0,-7,-3.5,3,1.5,1,2,
248,Kyle Trask,26,TAM,QB,2,0,2,-2,0,-2,-1,0,0,0,,
249,Ke'Shawn Vaughn,27,SFO,RB,1,0,2,4,0,2,1,2,1,0,,
250,Christian Watson,25,GNB,WR,12,12,2,0,0,-4,-2,4,2,1,2,
251,Kevin Austin,24,NOR,WR,4,1,1,9,0,8,8,1,1,0,,
252,Jake Bailey,27,MIA,P,13,0,1,0,0,0,0,0,0,0,,
253,Kendrick Bourne,29,NWE,WR,8,6,1,6,1,3,3,3,3,0,,
254,Tyler Boyd,30,TEN,WR,13,8,1,3,1,2,2,1,1,0,,
255,British Brooks,25,HOU,RB,5,0,1,2,0,1,1,1,1,0,,
256,Jake Browning,28,CIN,QB,2,0,1,-1,0,-1,-1,0,0,0,,
257,Tyler Conklin,29,NYJ,TE,13,13,1,0,0,0,0,0,0,0,,
258,Jahan Dotson,24,PHI,WR,13,5,1,13,1,13,13,0,0,0,,
259,Josh Downs,23,IND,WR,10,6,1,12,0,12,12,0,0,0,,
260,Chris Godwin,28,TAM,WR,7,7,1,2,1,1,1,1,1,0,,
261,Matthew Hayball,27,NOR,P,13,0,1,11,1,11,11,0,0,0,,
262,Taylor Heinicke,31,LAC,QB,2,0,1,12,0,12,12,0,0,0,,
263,Jaden Hicks,22,KAN,DB,13,0,1,1,0,0,0,1,1,0,,
264,Tanner Hudson,30,CIN,TE,9,0,1,1,1,0,0,1,1,0,,
265,Jermaine Jackson,24,NOR,WR,4,0,1,-1,0,-1,-1,0,0,0,,
266,Jha'Quan Jackson,24,TEN,WR,12,0,1,-5,0,-5,-5,0,0,0,,
267,Justin Jefferson,25,MIN,WR,13,13,1,3,0,3,3,0,0,0,,
268,Kameron Johnson,22,TAM,WR,4,0,1,0,0,0,0,0,0,0,,
269,Marcus Jones,26,NWE,CB,13,9,1,5,0,5,5,0,0,0,,
270,Travis Kelce,35,KAN,TE,13,13,1,1,0,0,0,1,1,0,,
271,Charlie Kolar,25,BAL,TE,12,3,1,2,1,2,2,0,0,0,,
272,Dylan Laube,25,LVR,RB,6,0,1,0,0,0,0,0,0,0,,
273,Drake London,23,ATL,WR,13,13,1,-3,0,-3,-3,0,0,0,,
274,Trey McBride,25,ARI,TE,12,12,1,2,1,0,0,2,2,0,,
275,Elijah Moore,24,CLE,WR,13,9,1,1,0,1,1,0,0,0,,
276,Chris Olave,24,NOR,WR,8,8,1,7,1,7,7,0,0,0,,
277,Cade Otton,25,TAM,TE,13,13,1,-4,0,-4,-4,0,0,1,1,
278,Ricky Pearsall,24,SFO,WR,7,2,1,39,1,39,39,0,0,0,,
279,Ja'Lynn Polk,22,NWE,WR,12,6,1,0,0,0,0,0,0,0,,
280,Jalen Reeves-Maybin,29,DET,LB,8,0,1,1,0,1,1,0,0,0,,
281,Rashee Rice,24,KAN,WR,4,4,1,1,1,0,0,1,1,0,,
282,Drew Sample,28,CIN,TE,13,11,1,-4,0,-4,-4,0,0,0,,
283,JK Scott,29,LAC,P,13,0,1,0,0,0,0,0,0,0,,
284,Laviska Shenault Jr.,26,SEA,WR,11,1,1,1,0,0,0,1,1,0,,
285,Steven Sims,27,HOU,WR,7,0,1,0,0,0,0,0,0,0,,
286,Darius Slayton,27,NYG,WR,12,9,1,11,1,8,8,3,3,0,,
287,Ainias Smith,23,PHI,WR,5,1,1,2,0,2,2,0,0,0,,
